Day,Susceptible,Infected,Recovered,Change in Susceptibles,New Infections,New Recoveries,Gamma Rate,Beta Rate,Predicted New Recoveries
0,990,10,0,,,,0.1,0.30303030303030304,1.0006478314016616
1,987,12,1,-3.0,2.0,1.0,0.08333333333333333,0.33772374197906113,1.200777397681994
2,983,14,2,-4.0,2.0,1.0,0.14285714285714285,0.29065542799011773,1.4009069639623262
3,979,17,4,-4.0,3.0,2.0,0.058823529411764705,0.3004266057802079,1.7011013133828248
4,974,20,5,-5.0,3.0,1.0,0.1,0.3080082135523614,2.001295662803323
5,968,24,7,-6.0,4.0,2.0,0.125,0.3013085399449036,2.401554795363988
6,961,29,10,-7.0,5.0,3.0,0.10344827586206896,0.2870573038142739,2.9018787110648185
7,953,34,13,-8.0,5.0,3.0,0.08823529411764706,0.3086229245108327,3.4022026267656496
8,943,41,16,-10.0,7.0,3.0,0.0975609756097561,0.3103742596280682,4.102656108746813
9,931,48,20,-12.0,7.0,4.0,0.10416666666666667,0.29090583601861797,4.803109590727976
10,918,57,25,-13.0,9.0,5.0,0.10526315789473684,0.30577533157512515,5.703692638989471
11,902,67,31,-16.0,10.0,6.0,0.08955223880597014,0.29784558361187413,6.7043404703911325
12,884,78,37,-18.0,11.0,6.0,0.10256410256410256,0.3045596936999652,7.80505308493296
13,863,91,45,-21.0,13.0,8.0,0.0989010989010989,0.2928705130327378,9.105895265755121
14,840,106,54,-23.0,15.0,9.0,0.10377358490566038,0.3032345013477089,10.606867012857613
15,813,122,65,-27.0,16.0,11.0,0.09836065573770492,0.30246204101385277,12.207903543100272
16,783,140,77,-30.0,18.0,12.0,0.1,0.30103995621237,14.009069639623263
17,750,158,91,-33.0,18.0,14.0,0.10126582278481013,0.29535864978902954,15.810235736146254
18,715,178,107,-35.0,20.0,16.0,0.10112359550561797,0.2985778266677143,17.811531398949576
19,677,199,125,-38.0,21.0,18.0,0.10050251256281408,0.30432813996125385,19.912891844893068
20,636,219,145,-41.0,20.0,20.0,0.1004566210045662,0.3015421728267425,21.91418750769639
21,594,239,167,-42.0,20.0,22.0,0.100418410041841,0.29584548413000294,23.915483170499712
22,552,258,191,-42.0,19.0,24.0,0.09689922480620156,0.30193236714975846,25.81671405016287
23,509,275,216,-43.0,17.0,25.0,0.10181818181818182,0.30005358099660656,27.517815363545694
24,467,289,244,-42.0,14.0,28.0,0.10034602076124567,0.29637752569222675,28.91872232750802
25,427,301,273,-40.0,12.0,29.0,0.09966777408637874,0.3034381880849938,30.119499725190014
26,388,309,303,-39.0,8.0,30.0,0.10032362459546926,0.300270243218897,30.920017990311344
27,352,314,334,-36.0,5.0,31.0,0.09872611464968153,0.29856687898089174,31.420341906012176
28,319,316,365,-33.0,2.0,31.0,0.10126582278481013,0.2976072378080235,31.620471472292508
29,289,315,397,-30.0,-1.0,32.0,0.09841269841269841,0.2965892239248641,31.520406689152342
30,262,310,428,-27.0,-5.0,31.0,0.1,0.3078059591233686,31.02008277345151
31,237,304,459,-25.0,-6.0,31.0,0.10197368421052631,0.2914723517654897,30.41969407461051
32,216,295,490,-21.0,-9.0,31.0,0.09830508474576272,0.31387319522912743,29.519111026349016
33,196,285,519,-20.0,-10.0,29.0,0.09824561403508772,0.2864303616183315,28.518463194947355
