Infected,, (error),Day,Susceptible,Recovered,Predicted New Recoveries
continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,
5,5.26488,0.264883,84,54,942,0.500324
61,59.1999,-1.8001,55,66,874,6.10395
24,23.7115,-0.288527,66,57,919,2.40155
22,21.8534,-0.146578,67,57,921,2.20143
135,136.461,1.46134,45,88,776,13.5087
207,208.177,1.17657,39,122,671,20.7134
258,258.906,0.90597,22,552,191,25.8167
146,147.401,1.40081,44,92,762,14.6095
57,54.0693,-2.93068,10,918,25,5.70369
10,15.4095,5.40949,0,990,0,1.00065
178,179.389,1.38937,18,715,107,17.8115
310,308.997,-1.00285,30,262,428,31.0201
2,1.34173,-0.65827,97,53,946,0.20013
285,284.861,-0.13942,33,196,519,28.5185
9,9.6175,0.617497,77,54,937,0.900583
20,21.2175,1.21753,4,974,5,2.0013
2,2.15784,0.157838,93,53,945,0.20013
8,8.78117,0.781167,78,54,937,0.800518
78,74.9295,-3.07052,12,884,37,7.80505
304,303.232,-0.76785,31,237,459,30.4197
10,10.4469,0.446867,76,55,936,1.00065
3,3.31564,0.315644,89,53,944,0.300194
309,307.926,-1.07414,26,388,303,30.92
169,170.289,1.28943,42,102,729,16.9109
17,17.1954,0.195412,70,56,927,1.7011
122,120.122,-1.87815,15,813,65,12.2079
194,195.091,1.09126,40,115,692,19.4126
14,14.5518,0.551787,72,55,931,1.40091
48,45.5495,-2.45047,9,931,20,4.80311
2,1.48164,-0.518363,96,53,945,0.20013
67,63.8832,-3.11676,11,902,31,6.70434
3,2.74003,-0.259968,91,53,944,0.300194
28,27.5722,-0.427831,64,58,914,2.80181
316,314.71,-1.28956,28,319,365,31.6205
5,5.68674,0.686739,83,54,941,0.500324
24,24.2953,0.295254,5,968,7,2.40155
116,116.963,0.963135,47,82,802,11.6075
72,70.7551,-1.24491,53,68,860,7.20466
260,260.507,0.507104,35,165,575,26.0168
140,139.059,-0.940635,16,783,77,14.0091
6,6.76417,0.764173,81,54,940,0.600389
273,273.168,0.167923,34,180,547,27.3177
34,32.5897,-1.4103,7,953,13,3.4022
157,158.376,1.37626,43,97,746,15.7102
13,13.4585,0.458493,73,55,932,1.30084
314,312.764,-1.23552,27,352,334,31.4203
199,200.959,1.95898,19,677,125,19.9129
2,1.91089,-0.0891139,94,53,945,0.20013
301,300.112,-0.888294,25,427,273,30.1195
34,32.8699,-1.1301,62,59,907,3.4022
99,99.3952,0.39516,49,76,825,9.90641
91,88.1344,-2.86562,13,863,45,9.1059
289,288.729,-0.271147,24,467,244,28.9187
17,19.1353,2.13526,3,979,4,1.7011
158,158.269,0.268703,17,750,91,15.8102
220,221.103,1.10312,38,131,649,22.0143
41,38.9626,-2.03737,8,943,16,4.10266
8,8.20758,0.207584,79,54,938,0.800518
29,28.3694,-0.630576,6,961,10,2.90188
26,25.5646,-0.435373,65,58,916,2.60168
247,247.755,0.75517,36,152,601,24.716
3,3.62581,0.625809,88,53,943,0.300194
56,54.3282,-1.67183,56,64,880,5.60363
1,0.958992,-0.0410081,100,53,946,0.100065
66,64.4843,-1.51566,54,67,867,6.60428
91,91.0495,0.0495499,50,74,835,9.1059
20,20.0656,0.0655841,68,57,923,2.0013
125,126.221,1.22136,46,85,790,12.5081
18,18.4496,0.449625,69,56,925,1.80117
37,35.6625,-1.33749,61,60,903,3.7024
1,1.20468,0.204681,98,53,946,0.100065
7,7.45674,0.456741,80,54,939,0.700453
181,182.245,1.24459,41,108,711,18.1117
47,45.7785,-1.22154,58,62,890,4.70304
107,107.72,0.720115,48,79,814,10.7069
3,3.02085,0.0208518,90,53,944,0.300194
51,49.6412,-1.35879,57,63,885,5.1033
11,11.4093,0.409313,75,55,934,1.10071
295,294.445,-0.55512,32,216,490,29.5191
2,1.67657,-0.323428,95,53,945,0.20013
43,41.7702,-1.22976,59,62,895,4.30279
31,30.1216,-0.87837,63,59,910,3.10201
5,4.90375,-0.0962493,85,53,942,0.500324
234,234.912,0.912312,37,141,625,23.4152
315,313.68,-1.3199,29,289,397,31.5204
12,16.2688,4.2688,1,987,1,1.20078
78,77.1453,-0.854684,52,70,852,7.80505
239,240.686,1.68553,21,594,167,23.9155
14,17.2769,3.27688,2,983,2,1.40091
275,275.304,0.304325,23,509,216,27.5178
4,4.05313,0.0531305,87,53,943,0.400259
